var_0,var_1,var_2,var_3,var_4,var_5,var_6,error
14,24,44,50,3,3,27,0.9999498995928118
4,37,23,44,39,39,52,1571694864.6934013
11,3,38,36,48,6,10,1596939716.9996505
35,10,28,49,19,21,47,7.0511134178744786e-12
4,25,51,37,36,30,49,1571694864.6934013
49,47,39,34,30,25,19,6.349175829471743e-11
43,10,18,50,29,29,4,0.023815484732198713
51,48,48,50,18,16,23,6.207539237596308e-10
52,17,33,39,50,21,51,5.211109301551103e-13
15,46,39,29,28,39,6,0.0019973217009294736
20,16,27,10,41,10,26,0.03670990152468933
40,33,51,34,6,34,20,39644.879571118974
50,46,46,14,27,44,45,1.334640723776924e-10
9,40,29,46,35,39,9,0.19864010430933074
9,10,39,5,8,36,33,1605502887.8040588
29,52,45,42,31,29,13,1.907129669622352e-07
3,49,39,20,27,28,41,2511386548.7739854
40,44,36,11,9,44,14,0.007709822839687313
5,36,14,19,49,15,17,41867.47370354725
26,29,16,30,31,4,37,0.9999498969253817
6,32,35,15,22,5,39,0.9999498611138166
18,14,13,37,42,51,33,3.7494539236385575e-08
5,8,6,3,41,6,43,1693031680.1637359
13,24,29,18,40,11,10,8.513666834857904e-06
18,46,48,49,5,45,41,1591667687.17934
44,7,5,23,5,21,16,1447279945.5683506
27,14,51,14,51,39,26,1.334640723776924e-10
39,33,51,12,40,22,4,0.023814271829825092
33,15,17,46,25,16,10,1.1293303803335806e-05
42,22,26,15,15,35,11,2.7600182362111517e-06
13,11,16,30,29,35,34,5.522659537319699e-08
24,7,52,36,5,28,19,1591657507.874768
34,9,12,27,49,45,10,9.950597429596702e-06
38,51,6,18,9,31,33,1593686841.0722373
43,24,25,32,48,24,16,3.055171891461093e-09
11,13,22,48,16,15,36,0.007709822839687313
51,12,11,32,18,31,31,5.570935165153434e-07
44,16,39,12,29,20,21,1.2462661643503698e-09
41,23,11,10,29,52,34,0.03670990152468933
48,5,32,8,33,49,46,3.755408911482961e-07
24,30,10,15,33,18,31,2.1672747786341153e-06
5,27,8,12,39,20,8,1589166431.1832352
48,12,5,47,6,28,45,1447237492.6571848
23,29,25,31,34,29,13,1.9070962310523683e-07
22,47,43,19,8,37,27,39611.528382994846
