var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
23,39,41,23,6,26,16,1.894934565307661e+58,92.06367492675781,49.203549,61.7188
6,7,31,18,5,4,36,1.7340931512308457e+58,96.52215003967285,47.251278,59.831809
5,12,14,32,15,50,32,1.797724337937167e+58,96.67009019851685,47.245477,59.826008
49,7,49,37,46,51,7,1.9136411315779373e+58,98.76802325248718,49.208969,61.72422
23,3,48,37,5,39,3,0.0,76.2493085861206,11.998227,24.077199
3,48,46,34,7,35,29,0.0,76.19869303703308,11.99714,24.076432
47,27,38,28,7,35,30,1.8949596009035169e+58,96.84496307373047,47.245477,59.826008
9,12,39,9,40,18,46,0.0,74.79204726219177,11.999421,24.078713
17,8,5,48,46,24,40,9.197481809457932e+56,96.55164122581482,47.251799,59.636492
47,38,18,6,41,7,12,1.4675300717854424e+57,97.6906750202179,47.250394,59.635086
20,8,8,34,38,26,35,1.6384084079488232e+58,96.29629802703857,49.209169,61.72442
52,3,24,34,44,18,14,0.0,75.69846558570862,11.999965,24.079257
48,20,40,52,26,13,22,1.9022225139100185e+58,97.62167596817017,48.626436,61.161039
5,31,36,51,42,42,49,1.797724337937167e+58,97.1832058429718,47.251889,59.83242
40,50,44,20,32,24,8,1.9136930545873458e+58,97.76183009147644,49.206503,61.721754
5,15,12,6,27,26,18,1.4675300717854424e+57,97.49470925331116,47.245078,59.62977
30,25,13,41,52,26,43,1.922910241886572e+58,96.2583270072937,47.250835,59.831366
19,37,41,4,24,28,41,9.172062948659016e+55,97.54357314109802,49.208882,61.528296
11,50,13,33,42,49,15,0.0,75.87284350395203,12.000511,24.079803
36,27,9,19,33,51,51,0.0,76.60146641731262,11.994273,24.073565
30,9,15,38,8,16,40,0.0,75.60366606712341,11.997908,24.0772
44,7,4,39,14,26,29,2.1536285530033613e+56,97.07580900192261,48.501688,60.843977
16,38,21,47,17,44,43,1.9015707372105522e+58,96.53039026260376,49.21029,61.725541
19,45,32,47,18,48,18,1.9016352229205242e+58,97.32908987998962,49.13315,61.652061
14,43,16,47,24,38,17,1.902022160141652e+58,95.85789585113525,49.208971,61.724222
34,16,45,39,18,36,24,1.9016161725272746e+58,96.07603454589844,49.211058,61.726309
16,26,15,21,37,16,36,1.8977539236398865e+58,98.63226580619812,49.202024,61.717275
11,45,52,44,42,34,3,0.0,77.00300621986389,11.998198,24.07749
25,5,48,39,33,44,25,2.054452272252351e+58,96.48004269599915,49.209394,61.724645
14,38,36,21,47,14,16,1.902022160141652e+58,96.87069392204285,49.208971,61.724222
40,52,15,31,21,28,32,1.897680816375004e+58,97.40413737297058,49.203718,61.718897
18,52,20,21,27,12,16,1.9021390551685235e+58,96.86890053749084,49.21065,61.725901
51,12,10,29,23,10,22,0.0,77.66531157493591,11.996651,24.075943
43,40,9,9,10,8,44,0.0,76.63868498802185,11.997876,24.077168
27,14,48,26,42,26,12,1.9025382006564232e+58,97.23863458633423,49.203,61.718251
19,44,33,6,23,35,23,1.4675300717854424e+57,98.53256392478943,47.250572,59.635264
36,36,21,27,19,52,29,1.9016110721383828e+58,99.21517872810364,48.702062,61.238193
38,3,14,32,5,35,41,0.0,76.70971322059631,11.997109,24.076401
10,46,20,43,24,49,28,0.0,78.0326497554779,11.998998,24.07829
3,32,12,52,39,3,44,0.0,77.29144048690796,11.995956,24.074792
16,39,27,12,16,52,48,1.8645448094712786e+58,96.98061513900757,49.208612,61.723863
41,13,34,30,21,44,43,1.9022217057731116e+58,99.2761447429657,49.205302,61.720553
23,46,21,42,42,32,22,1.9016115444468628e+58,97.75159668922424,48.94852,61.470101
52,34,50,45,38,48,24,1.9016524430542524e+58,100.3693516254425,48.628159,61.163026
48,13,51,52,37,28,39,1.902222863791505e+58,97.99200415611267,48.62599,61.160513
43,12,16,48,38,40,24,1.9020703876514054e+58,98.7970244884491,48.625985,61.160958
45,12,23,7,52,34,36,5.87012028714177e+57,98.86367177963257,49.210228,61.72548
28,26,13,52,35,22,6,1.913640873054616e+58,97.49582839012146,48.697893,61.225526
4,19,40,27,46,14,46,2.0637141634482788e+58,98.16774821281433,49.209001,61.724252
19,46,35,38,17,16,30,1.9016110406511525e+58,98.25844740867615,49.206642,61.721893
28,45,35,14,28,19,22,1.9110618697992984e+58,97.52494144439697,47.252627,59.833158
5,12,9,29,24,13,49,0.0,76.091064453125,11.997908,24.0772
40,15,47,13,16,8,34,1.900474647430484e+58,96.92231726646423,49.210842,61.726093
25,8,33,32,21,17,50,1.8949602138297828e+58,95.8966453075409,47.248911,59.829298
29,30,3,36,48,27,9,0.0,76.64985585212708,11.997877,24.077169
5,12,47,26,51,19,25,1.797724337937167e+58,97.22270703315735,47.247626,59.828157
31,36,50,23,30,51,42,1.901640796320756e+58,98.35184741020203,48.433439,60.977502
15,5,32,49,25,15,35,2.0543199313608706e+58,101.9208722114563,47.247674,59.828205
6,37,4,52,50,25,30,2.1505979628642866e+56,112.14603757858276,47.25074,59.635433
8,24,21,7,26,6,26,5.87012028714177e+57,117.1421627998352,49.204014,61.719266
25,24,5,13,34,29,25,9.139957588107958e+56,120.44644021987915,45.28879,57.738763
25,11,3,19,3,11,24,0.0,108.80062627792358,11.997333,24.076625
17,46,10,50,43,28,48,0.0,112.1988775730133,11.997726,24.077018
37,12,20,14,22,17,36,1.9110618697992984e+58,127.27134108543396,47.25157,59.832101
26,52,39,51,7,12,30,1.89496008810131e+58,130.20848417282104,47.246465,59.826996
12,47,9,24,25,25,8,0.0,119.89909887313843,11.994236,24.073528
34,35,33,34,19,36,8,1.913640887120554e+58,128.0655162334442,49.205563,61.720814
8,32,18,6,23,37,25,1.4675300717854424e+57,132.77510404586792,47.252595,59.637287
45,3,28,36,30,15,20,0.0,130.44093108177185,11.998997,24.078289
39,40,13,15,35,32,41,1.9266083737436108e+58,141.57397270202637,49.206841,61.722092
3,36,42,43,3,16,52,0.0,144.03373551368713,11.999421,24.078713
17,8,19,27,34,50,31,1.895192064229135e+58,152.30754375457764,47.25125,59.831781
4,8,29,33,34,35,45,2.0637141634482788e+58,151.33626770973206,49.211025,61.726276
5,50,3,20,3,51,37,0.0,138.3437750339508,11.997363,24.076655
51,36,27,27,51,49,25,1.9016523880316965e+58,154.47171139717102,48.636192,61.170741
5,33,47,24,30,36,35,1.797724337937167e+58,139.3223602771759,47.252249,59.83278
9,19,24,28,7,12,16,0.0,110.85305762290955,11.998557,24.077849
46,13,11,38,42,15,26,0.0,106.95186042785645,11.998998,24.07829
8,43,7,26,18,47,39,1.4046154524969845e+58,137.51001977920532,49.210288,61.725539
41,43,31,23,16,27,41,1.9016281697427416e+58,131.9612979888916,49.209426,61.724677
6,25,3,9,3,16,43,0.0,101.4645607471466,11.998586,24.077878
17,33,16,36,37,51,19,1.901925422146161e+58,123.89760828018188,49.209395,61.724646
30,30,40,27,49,13,8,1.9136405256012738e+58,124.13378763198853,47.252657,59.833188
24,42,5,45,32,27,52,9.197260216762637e+56,121.96752429008484,47.250712,59.635405
14,22,6,16,26,5,44,3.4432887787713754e+57,120.5362982749939,47.250963,59.635655
34,52,30,45,12,37,41,1.902221905802444e+58,117.96692109107971,49.062527,61.58312
28,7,27,28,25,48,32,1.894959943539516e+58,107.37686514854431,49.203779,61.718942
26,30,18,49,24,44,37,1.901767472425832e+58,111.67038416862488,49.209651,61.724646
29,24,32,45,26,5,38,2.054456552950593e+58,100.55668067932129,49.20965,61.724645
19,16,21,16,32,52,12,1.8998300363446665e+58,98.07525825500488,49.21029,61.725541
38,23,24,44,38,48,41,1.901657129473993e+58,98.68097305297852,48.627388,61.162135
10,42,35,36,26,46,21,0.0,76.21272206306458,11.996586,24.075878
18,11,43,6,45,37,11,0.0,75.16298937797546,11.995896,24.075188
16,5,32,27,42,19,35,2.05445398378788e+58,96.87383699417114,47.246902,59.827433
37,19,23,16,47,8,6,1.912161007964927e+58,96.65305042266846,49.212024,61.727275
46,16,18,33,23,34,17,1.9017601587309485e+58,99.10542321205139,47.25225,59.832781
29,36,30,14,8,16,13,1.880670804075577e+58,100.39809823036194,49.207026,61.722277
18,42,30,47,32,31,38,1.9016527905403948e+58,97.0643196105957,47.296704,59.876181
20,6,49,51,18,50,16,1.8949385885937704e+58,97.32300281524658,49.210258,61.725509
