var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
8,48,25,16,280000000000.0,594.2467692,24.595548,33.231739
24,20,15,36,293000000.0,595.6562545,38.095404,46.280542
14,50,35,6,0.0001577646978995906,592.0577843,29.872501,38.332667
29,35,45,48,0.00623,616.114054,39.304245,47.449495
24,6,36,5,0.002629762594577387,599.2939045,27.803431,36.332144
6,20,34,31,0.00043551353758223096,601.232523,19.77165,28.568842
37,34,10,35,304000000000.0,601.7987289,28.71168,37.210122
26,25,21,16,251000.0,613.5684576,39.297886,47.443591
19,21,26,23,8050.0,595.7683287,39.273112,47.419369
20,40,11,30,7220000000.0,592.7448735,30.7289,39.159678
13,15,17,45,39600000.0,610.2127869,34.720758,43.019014
51,30,23,14,34800000.0,616.8159633,39.278098,47.424559
17,4,45,41,0.0005876290457830312,603.5940969,39.139009,47.290367
14,8,40,18,841000000.0,602.2446241,36.688705,44.922039
50,24,19,18,211000.0,614.3849235,39.284278,47.43043
30,11,43,44,260000000.0,604.0122671,39.303157,47.448317
10,39,23,40,17300000000.0,624.3525152,28.754271,37.251331
19,5,35,42,28900000000.0,606.2242811,39.270413,47.416649
12,12,23,43,1990000000.0,593.9920359,32.748342,41.112187
16,10,48,47,4000000000.0,602.8797994,38.818568,46.9801
51,26,11,26,7220000000.0,600.2620087,30.743056,39.173864
34,11,45,17,26100000.0,614.9535134,39.318607,47.463705
48,41,41,32,0.00035,615.3799193,39.316257,47.461471
11,43,42,44,4320000000.0,611.1518281,30.762522,39.192576
19,40,20,48,60300.0,623.4684644,39.288831,47.434903
34,29,50,34,0.000711,594.3991258,39.315265,47.460564
44,37,41,11,2160000000.0,607.3946629,38.604897,46.773909
43,4,11,12,0.0006520329583980074,603.89027,30.456289,38.896724
36,12,16,38,324000000.0,617.3353698,38.822207,46.983888
23,47,10,29,304000000000.0,604.1668551,28.731785,37.230228
23,23,36,14,34700000.0,620.9319375,39.288064,47.434509
17,23,39,48,1080000.0,600.3845081,39.179072,47.328677
37,8,28,14,829000000.0,601.0711327,39.288684,47.434899
46,31,18,47,440000.0,612.9673483,39.287428,47.433498
16,52,13,52,453000000.0,613.4011898,34.721822,43.020289
6,38,18,14,0.00043551353758223096,606.8727705,19.790328,28.587502
33,9,42,52,953000000.0,607.5322897,39.314773,47.460103
36,5,19,14,290000000000.0,603.7371292,39.287566,47.43373
29,14,37,14,34800000.0,632.1894875,39.268909,47.415359
27,50,30,24,22.9,662.9994984,39.315388,47.460712
47,50,36,22,3.47,679.9014432,39.316148,47.461483
22,37,33,48,1020.0,686.7394602,39.299756,47.445015
42,32,10,25,304000000000.0,670.7015519,28.731807,37.230249
31,46,22,44,17800.0,684.5735078,39.316089,47.461315
25,50,31,31,1.69,673.3856361,39.315295,47.460704
37,44,20,9,4210000000.0,691.3171072,35.814156,44.075737
36,35,16,29,7100000.0,690.5648725,38.821807,46.983583
27,19,45,23,14200.0,677.0643706,39.298074,47.443307
47,19,44,14,34800000.0,698.8283131,39.287921,47.434371
15,52,47,24,17000000.0,689.6632354,38.111696,46.297026
15,42,10,40,304000000000.0,707.5878446,28.731539,37.229899
16,42,6,36,0.00884108909743404,694.4645789,19.88051,28.670934
48,12,10,41,281000000000.0,692.9667296,28.733131,37.231567
18,17,16,39,6480000.0,702.5315795,38.804495,46.966224
6,20,24,8,0.00044705270021681495,681.8417027,19.787538,28.584758
39,39,21,16,251000.0,713.1248164,39.288017,47.433701
39,41,25,5,0.0005064242007053186,708.9702642,27.755353,36.285405
4,33,19,45,0.00667731320326925,718.3263428,14.309641,23.287306
34,29,23,11,2160000000.0,846.4827223,38.604883,46.773895
28,11,49,31,260000000.0,801.5520501,39.310319,47.45561
16,50,28,4,0.002092141533808823,784.4175093,25.820345,34.4157
44,43,41,40,1.22e-07,825.1592762,39.306304,47.451603
28,41,4,6,0.14570676991723958,798.697979,12.779105,21.809437
26,50,7,25,0.001988476346544061,812.5695078,22.202924,30.917478
16,4,40,15,0.0005890485991371548,796.3829989,38.742733,46.906774
26,49,47,4,0.0020840001060303103,796.6053615,25.820418,34.415746
7,25,39,23,0.0001112038098038709,785.7671754,22.315058,31.026951
27,5,19,48,28900000000.0,804.1920722,39.287368,47.433627
16,50,9,26,0.0001227534728125778,825.3574841,26.657205,35.223806
40,41,46,35,1.23e-05,794.0222275,39.304152,47.449468
51,38,36,12,9320000.0,807.1991735,39.06116,47.214589
21,16,41,6,0.00015943325764414864,783.6549678,29.874659,38.334957
6,26,8,24,0.001664726739244661,788.5950491,19.852541,28.646128
22,13,16,30,134000000.0,791.982214,38.822113,46.983728
18,8,48,21,834000000.0,797.5307467,39.285584,47.431824
28,18,24,49,738.0,807.1263137,39.314058,47.459322
30,36,36,35,0.00176,807.6455808,39.314989,47.460243
21,8,32,4,0.0020840001060303103,781.4771588,25.809809,34.405137
49,34,50,34,3.4e-05,775.5438054,39.315656,47.460903
24,36,43,26,6.97,817.4231923,39.31408,47.459544
22,34,6,43,0.00884108909743404,820.6045799,19.900093,28.690523
25,48,32,44,16.2,808.3260064,39.315329,47.460725
42,12,11,33,6570000000.0,815.2263052,30.751455,39.182222
18,23,21,41,524000.0,801.4477718,39.288852,47.434792
48,50,28,36,0.443,808.3876321,39.315967,47.461264
50,45,32,24,3.33,808.0842919,39.315298,47.460487
9,17,16,44,6860000000.0,805.4324224,26.717716,35.282808
12,15,47,52,1100000000.0,810.0444834,32.746779,41.110792
42,16,42,40,3870.0,808.0985415,39.316293,47.461443
41,30,25,39,273.0,796.7298934,39.315857,47.461189
19,12,42,10,15800000000.0,821.1657112,37.678504,45.878426
18,30,46,42,265000.0,802.9241488,39.288257,47.434317
19,46,48,49,6520.0,798.5014231,39.287917,47.434251
20,26,45,15,996000.0,814.8129351,39.288975,47.435235
51,24,49,45,0.488,817.0387585,39.315812,47.46108
42,4,48,7,0.0007221142172755136,795.8972189,31.844073,40.238463
6,47,34,33,0.00043551353758223096,809.8038199,19.789906,28.587093
18,6,51,51,253000000000.0,797.6343162,39.287399,47.433542
45,43,39,10,15800000000.0,783.4436183,37.66694,45.866852
9,21,47,27,6800000000.0,757.4485936,26.696864,35.262013
7,34,4,24,0.13124940301828777,753.9159977,12.748395,21.779125
17,26,9,40,0.0001227534728125778,753.5776143,26.647635,35.214156
30,13,51,52,18600000.0,777.4947684,39.306205,47.451325
25,48,30,24,9.11,769.2879293,39.299415,47.444734
10,18,52,10,403000000.0,752.7465403,28.733176,37.230583
41,50,15,17,310000000.0,790.2141483,38.110393,46.295762
46,41,48,13,138000000.0,764.9775436,39.287055,47.433299
6,50,33,21,0.00043551353758223096,763.7737565,19.768946,28.566133
6,22,26,35,0.00043551353758223096,755.6306694,19.777413,28.5746
42,12,48,15,3110000.0,781.9606423,39.289891,47.435914
22,32,21,21,9190.0,769.4394364,39.312727,47.457921
16,50,34,43,4260000.0,794.7038236,38.813302,46.97481
17,37,21,37,1430000.0,768.3795309,39.179051,47.328648
30,5,23,31,28900000000.0,782.6990356,39.295849,47.441159
4,28,10,34,0.0072421310683859754,740.6402969,14.204835,23.185949
21,15,50,11,1450000000.0,777.0569999,38.598987,46.767494
25,17,6,51,0.00884108909743404,757.452796,19.900241,28.690674
20,9,36,39,953000000.0,773.9206648,39.282322,47.428365
36,19,14,26,1140000000.0,848.5270078,36.690579,44.92342
52,36,30,27,0.0617,846.0173514,39.31588,47.461281
48,13,19,45,23000000.0,813.473995,39.287684,47.433821
14,15,33,32,7930000.0,820.6891627,36.690751,44.923665
