var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
30,25,11,29,42,20,41,-17.79131633606457,686.6676857,12.008016,19.89649
15,39,12,30,30,4,12,5.007096759682326e-05,854.5405424,49.218471,61.733824
24,7,24,38,8,26,30,-9.382722039012835,863.9230909,47.257475,59.838108
12,18,3,9,10,6,6,2.9155763243146576e-05,798.1128983,12.008016,19.89649
11,42,40,34,11,44,50,-8.285566425944076,664.087873,11.98988,19.878354
40,14,52,12,41,15,16,18.617837067037797,765.5460031,49.218336,61.733689
13,7,35,52,5,15,28,-21.156756488761033,744.1851652,45.301536,57.947449
43,3,10,9,38,44,48,0.7467588211476848,603.2520425,11.99692,19.885394
7,37,21,32,37,51,45,-8.578544506927509,739.2215147,49.218336,61.733689
18,35,21,48,8,38,16,-9.3827430601372,746.5657694,49.218517,61.73387
23,41,28,39,51,48,13,15.488118135450632,730.2353806,45.145596,57.813499
44,35,8,17,44,20,20,-21.120322738158052,751.14466,49.218336,61.733689
47,21,10,38,40,25,21,1.1066247899688857,583.7096341,12.008016,19.89649
18,28,43,46,34,17,23,3.4112224178838773,730.6141496,47.273468,59.854101
32,9,52,4,40,51,28,9.217821051984862,580.5780892,12.008016,19.89649
44,24,18,36,31,16,39,2.7180752099474295,763.1378286,49.02513,61.545973
19,47,48,28,31,4,41,5.008078300209658e-05,735.3449445,49.212,61.727353
4,29,27,36,13,42,23,-20.780805309009658,740.0021694,49.218336,61.733689
38,28,28,8,47,34,38,14.780820840310582,756.4142857,47.259936,59.840569
10,14,51,37,46,28,13,2.2989674760239738,593.8387094,12.008059,19.896533
24,42,13,44,35,29,35,-8.28416767515093,761.9556279,49.218336,61.733689
24,16,45,6,47,47,42,12.036083185872569,741.5171423,47.244681,59.629474
10,18,48,40,32,42,31,2.2989674760239738,597.8332195,12.008131,19.896605
24,23,16,18,38,13,35,-8.284162294023115,737.3090739,49.217469,61.732822
22,13,41,19,36,5,52,0.18619754158936896,735.6735411,49.218336,61.733689
23,50,26,31,8,4,45,5.008089339177111e-05,743.3519211,49.218336,61.733689
15,44,21,24,17,13,21,-8.284187184609841,747.1325066,49.196166,61.711519
