var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
40,19,42,22,13,47,22,-7.878520343729063,101.5524230003357,49.207416,61.722667
13,13,39,36,8,45,50,-17.79190650576135,100.0056083202362,49.210618,61.725869
9,39,9,29,46,50,38,-19.58190675500497,79.49497675895691,11.999421,24.078713
39,21,46,30,39,25,16,19.63029615542116,103.69207835197447,49.207963,61.723214
29,23,46,12,26,29,51,20.396114760955626,117.6896641254425,49.209651,61.724902
17,46,31,37,6,25,27,-20.680668540098736,103.01610255241394,49.203823,61.719074
46,40,18,4,21,39,22,9.22174076989266,104.38247561454772,49.208882,61.528296
3,26,25,22,3,50,11,-6.907755278982137,104.3910436630249,11.997877,24.077169
24,21,49,14,16,27,18,20.75530789616271,105.22047877311708,47.252627,59.833158
43,33,30,26,48,18,24,24.11035336220969,113.63920712471008,49.091715,61.611936
13,44,7,42,16,17,14,-21.18943767423093,103.74189019203186,49.211482,61.726733
50,30,19,34,33,32,39,25.504163357213947,115.53903412818909,47.684823,60.24716
44,30,5,36,49,52,25,-7.18336971165168,124.62479162216188,47.26861,59.652845
33,19,3,6,19,26,39,5.006492998444366e-05,79.53351378440857,11.999421,24.078713
30,31,21,13,45,46,36,21.783050653068244,104.08249545097352,49.208711,61.723962
21,43,14,50,34,48,30,-7.185461722490999,102.2884647846222,49.206427,61.721678
49,43,10,4,10,50,9,1.328739648277984,79.05936551094055,11.993373,24.072665
43,17,19,47,23,5,20,0.18619752999446892,101.31866574287416,48.63343,61.168027
18,34,24,21,14,47,8,2.716131020015518,100.50814890861513,49.203587,61.718838
3,22,11,40,13,4,12,-6.907755278982137,79.09272360801697,11.996909,24.076201
37,11,46,34,4,32,3,-21.64837967260808,80.31003093719482,11.997877,24.077169
24,3,3,41,46,33,29,5.00799973497327e-05,81.68475604057312,11.998965,24.078257
12,22,12,7,6,42,19,-20.73474968154083,110.38311576843262,49.211963,61.727215
28,22,27,31,49,12,37,2.7180715461912235,102.41002106666564,47.856298,60.422399
11,33,13,22,32,20,37,-8.573415898443496,85.6430869102478,11.994279,24.073571
43,6,20,30,39,49,24,26.24413904167955,107.54997730255128,49.210618,61.725869
26,6,11,35,9,3,28,5.00808962847131e-05,81.23785972595215,11.99942,24.078712
6,7,17,24,25,47,27,-18.469848005011173,100.68810319900513,49.20791,61.723161
5,21,32,20,23,8,29,-21.149894698315293,103.05340695381165,47.252217,59.832748
4,47,51,32,41,18,13,-20.7293953004565,100.09590005874634,49.206003,61.721254
24,31,20,32,50,7,20,-21.189313221048593,98.95759105682372,49.209394,61.724645
36,8,25,46,5,33,33,-21.156675874964336,101.18102526664734,49.210257,61.725508
34,3,8,16,10,3,3,5.012597322037876e-05,79.72504377365112,11.995149,24.074313
11,11,36,33,52,35,41,-7.187028366755073,78.77035760879517,11.997335,24.076627
28,18,4,15,4,20,24,5.008087707678183e-05,101.35745978355408,49.208533,61.527946
14,26,52,41,33,37,18,3.4112212010992624,99.70912098884584,49.211483,61.726734
15,32,4,4,31,20,40,4.990616526031826e-05,104.2461235523224,47.250096,59.438951
48,13,46,5,30,13,51,-8.290755867761986,111.07947206497192,47.251478,59.636171
6,52,9,14,31,38,17,-19.974704243899208,82.98018550872803,11.998965,24.078257
29,18,40,14,30,30,28,23.170714327835253,101.1570529937744,47.250311,59.830842
34,23,5,43,47,4,25,5.008088986619236e-05,101.4780809879303,47.862751,60.227004
31,38,26,37,15,32,46,20.795140199947998,101.09308648109436,49.204449,61.7197
38,11,39,25,46,3,29,5.008088787457456e-05,81.30954265594482,11.99711,24.076402
25,21,25,16,23,5,39,0.18619755494718374,107.593106508255,49.210258,61.725509
42,4,16,30,24,18,49,2.718075177637477,107.24520254135132,49.21029,61.725541
12,8,24,17,22,4,29,5.007087821395432e-05,102.0436828136444,49.208711,61.723962
23,27,33,41,48,52,37,30.67025236763016,104.0630464553833,48.515765,61.054654
49,43,40,17,15,17,38,20.413284302162378,106.54727482795715,49.204559,61.71981
8,34,5,52,5,15,46,-21.095571974525775,100.02630376815796,45.29231,57.742283
39,41,39,18,34,38,41,28.71380324892454,100.2895441055298,49.210259,61.72551
28,37,3,52,22,30,43,5.008088816058233e-05,78.91152787208557,11.9964,24.075692
9,21,36,3,38,4,19,-6.907755278982137,83.23271918296814,11.998556,24.077848
25,13,3,43,44,35,33,5.008088991559976e-05,79.55955338478088,11.994598,24.079226
41,27,13,26,43,36,49,-8.28416776012984,101.79532241821288,49.204449,61.7197
15,18,28,44,7,38,16,-19.582768981862866,99.69718599319458,49.20917,61.724421
20,44,47,36,25,36,16,19.627742570395117,99.85169339179993,49.210259,61.72551
20,14,35,34,18,8,13,-21.120417454280265,103.4180634021759,49.206221,61.721472
22,43,27,48,14,15,16,2.7180751154829217,101.11094760894775,49.210619,61.72587
14,15,38,22,39,22,29,3.411221269996132,100.32890391349792,49.204285,61.719536
44,12,41,52,51,44,20,25.51033834465933,100.33135652542114,48.626605,61.161062
20,32,7,37,48,49,32,-21.189313417604918,100.36680483818054,49.204449,61.7197
9,28,28,22,18,39,39,-8.574383821800936,78.93727660179138,11.99711,24.076402
